Country,Code,Year,Real GDP Growth Rate,PSNW
Slovakia,SK,2018,4.1,-37810.975
Slovakia,SK,2019,2.3,-40321.425
Slovakia,SK,2020,-2.6,-44255.175
Slovakia,SK,2021,5.7,-48373.95
Slovakia,SK,2022,0.5,-41909.725
Slovakia,SK,2023,2.1,-43393.2
Slovakia,SK,2024,1.9,-54742.1
Slovenia,SI,2018,4.4,-11611.925
Slovenia,SI,2019,3.5,-13192.849999999999
Slovenia,SI,2020,-4.1,-17161.05
Slovenia,SI,2021,8.4,-17578.725
Slovenia,SI,2022,2.7,-13755.975
Slovenia,SI,2023,2.4,-13374.625
Slovenia,SI,2024,1.7,-12786.2
Romania,RO,2018,5.4,-39530.8
Romania,RO,2019,4.0,-44918.5
Romania,RO,2020,-3.6,-58914.6
Romania,RO,2021,5.6,-73547.875
Romania,RO,2022,4.2,-69984.225
Romania,RO,2023,2.3,-91626.275
Romania,RO,2024,0.9,-126132.3
Malta,MT,2018,7.2,-3720.15
Malta,MT,2019,4.1,-3817.9
Malta,MT,2020,-3.5,-4598.75
Malta,MT,2021,13.4,-5554.025
Malta,MT,2022,2.5,-5466.525000000001
Malta,MT,2023,10.6,-5895.55
Malta,MT,2024,6.8,-7345.8
Spain,ES,2018,2.4,-959205.75
Spain,ES,2019,2.0,-1016761.75
Spain,ES,2020,-10.9,-1098188.5
Spain,ES,2021,6.7,-1180341.0
Spain,ES,2022,6.4,-1131675.25
Spain,ES,2023,2.5,-1157588.5
Spain,ES,2024,3.5,-1217965.25
France,FR,2018,1.6,-1777622.75
France,FR,2019,2.0,-1851416.25
France,FR,2020,-7.4,-1990766.5
France,FR,2021,6.9,-2053531.0
France,FR,2022,2.7,-1947660.25
France,FR,2023,1.4,-1974534.75
France,FR,2024,1.2,-2094003.75
Germany,DE,2018,1.1,-1077661.5
Germany,DE,2019,1.0,-1055263.25
Germany,DE,2020,-4.1,-1171362.75
Germany,DE,2021,3.9,-1252186.25
Germany,DE,2022,1.8,-1072042.5
Germany,DE,2023,-0.9,-1046718.25
Germany,DE,2024,-0.5,-1046503.0
Portugal,PT,2018,2.9,-210006.0
Portugal,PT,2019,2.7,-214044.05
Portugal,PT,2020,-8.2,-217327.24999999997
Portugal,PT,2021,5.6,-225761.42500000002
Portugal,PT,2022,7.0,-198435.075
Portugal,PT,2023,3.1,-91626.275
Portugal,PT,2024,2.1,-126132.3
Italy,IT,2018,0.8,-2141914.0
Italy,IT,2019,0.4,-2259449.75
Italy,IT,2020,-8.9,-2418036.75
Italy,IT,2021,8.9,-2585367.75
Italy,IT,2022,4.8,-2427169.75
Italy,IT,2023,1.0,-2505864.25
Italy,IT,2024,0.7,-2141914.0
Croatia,HR,2018,2.9,-20976.425
Croatia,HR,2019,3.1,-20157.925000000003
Croatia,HR,2020,-8.3,-22339.925000000003
Croatia,HR,2021,12.6,-24873.325
Croatia,HR,2022,7.3,-24662.449999999997
Croatia,HR,2023,3.8,-25620.149999999998
Croatia,HR,2024,3.8,-26111.949999999997
Hungary,HU,2018,5.6,-74799.82500000001
Hungary,HU,2019,5.1,-79434.25
Hungary,HU,2020,-4.3,-76904.29999999999
Hungary,HU,2021,7.2,-84597.4
Hungary,HU,2022,4.2,-73147.4
Hungary,HU,2023,-0.8,-92062.2
Hungary,HU,2024,0.6,-104551.225
Poland,PL,2018,6.2,-192717.52500000002
Poland,PL,2019,4.6,-193230.55
Poland,PL,2020,-2.0,-218760.0
Poland,PL,2021,6.9,-221579.175
Poland,PL,2022,5.3,-192651.875
Poland,PL,2023,0.2,-238234.94999999998
Poland,PL,2024,3.0,-335997.4
Czech Republic,CZ,2018,2.8,-18862.4
Czech Republic,CZ,2019,3.6,-17540.149999999998
Czech Republic,CZ,2020,-5.3,-26966.875
Czech Republic,CZ,2021,4.0,-32292.25
Czech Republic,CZ,2022,2.8,-27665.300000000003
Czech Republic,CZ,2023,0.0,-40290.95
