Pais,2018,2019,2020,2021,2022,2023,2024,2025
Austria,-195268.175,-198388.15,-218328.0,-227430.55,-202805.325,-206339.35,-225702.825,-236994.45
Belgium,-395204.5,-421099.0,-449674.0,-464503.25,-427255.0,-428528.75,-460286.0,-474560.5
Bulgaria,-708.8,703.925,696.25,-1477.9250000000002,-3049.325,-4627.875,-6549.45,-7323.2
Croatia,-20976.425,-20157.925,-22339.925,-24873.325,-24662.45,-25620.15,-26111.95,-28128.15
Cyprus,-12021.175,-10892.25,-12125.675,-14108.25,-10743.45,-8744.0,-8420.9,-7816.6
Czechia,-18862.4,-17540.149999999998,-26966.875,-32292.25,-27665.3,-40290.95,-50484.0,-51263.3
Denmark,4582.325,11632.35,27238.525,41929.850000000006,63205.975,77346.725,89847.525,102810.75
Estonia,6007.45,6014.1,4865.1,3881.9,4921.1,4556.575,2817.675,2051.5
Euro area - 19 countries  (2015-2022),-7347316.775,-7598511.9,-8210063.5,-8644706.55,-7968447.075,-8045610.6,-8430717.375,-8534363.100000001
Euro area – 20 countries (from 2023),-7368293.175,-7618669.825,-8232403.45,-8669579.9,-7993109.525,-8071230.75,-8456829.325,-8562491.25
European Union - 27 countries (from 2020),-7584716.35,-7821431.025,-8469512.0,-8888679.85,-8141622.75,-8310745.675000001,-8788324.275,-8938255.600000001
Finland,137538.0,143479.25,135443.5,173123.5,164272.75,158815.5,159617.25,157337.0
France,-1777622.75,-1851416.25,-1990766.5,-2053531.0,-1947660.25,-1974534.75,-2094003.75,-2156695.0
Germany,-1077661.5,-1055263.25,-1171362.75,-1252186.25,-1072042.5,-1046718.25,-1046503.0,-995172.5
Greece,-261527.0,-269812.9,-288525.775,-308100.375,-289992.45,-290807.575,-289872.3,-280032.25
Hungary,-74799.825,-79434.25,-76904.29999999999,-84597.4,-73147.4,-92062.2,-104551.225,-111049.1
Ireland,-161381.975,-162506.3,-174716.84999999998,-177995.575,-144521.675,-124757.15,-111325.475,-96021.75
Italy,-2141914.0,-2259449.75,-2418036.75,-2585367.75,-2427169.75,-2505864.25,-2676890.0,-2755705.5
Latvia,-2726.25,-3121.15,-4549.65,-6380.425,-6318.725,-6559.075,-6874.125,-7059.45
Lithuania,-6214.675,-6384.0,-8066.125,-9782.15,-6223.9,-5800.325000000001,-6653.275,-7078.65
Luxembourg,30196.3,33376.2,32119.45,36819.7,38448.525,39152.425,42304.25,43166.95
Malta,-3720.15,-3817.9,-4598.75,-5554.025,-5466.525,-5895.55,-6739.2,-7382.45
Netherlands,-267161.75,-254910.5,-264808.75,-281537.0,-250114.0,-238904.25,-236356.25,-228104.5
Norway,1041091.375,1144426.975,1103240.7,1364256.15,1423665.975,1544913.65,1803756.5,1860944.1
Poland,-192717.525,-193230.55,-218760.0,-221579.175,-192651.875,-238234.95,-309620.775,-346765.1
Portugal,-210006.0,-214044.05,-217327.25,-225761.425,-198435.075,-190325.55,-183923.85,-175753.8
Romania,-39530.8,-44918.5,-58914.6,-73547.875,-69984.225,-91626.275,-115263.05,-134084.90000000002
Slovakia,-37810.975,-40321.425,-44255.175,-48373.95,-41909.725,-43393.2,-50861.3,-55780.25
Slovenia,-11611.925,-13192.85,-17161.05,-17578.725,-13755.975,-13374.625,-13079.05,-11340.95
Spain,-959205.75,-1016761.75,-1098188.5,-1180341.0,-1131675.25,-1157588.5,-1217965.25,-1241420.0
Sweden,105613.875,120025.90000000001,116502.525,152464.725,154778.9,149980.6,165126.0,171910.5
