Codigo de Pais,Pais,Periodo,PIB (Millones de Euros),Indicador,Unidad,Anio
AL,Albania,2015,10028.1,B1GQ,CLV10_MEUR,2015
AL,Albania,2016,10420.1,B1GQ,CLV10_MEUR,2016
AL,Albania,2017,10762.2,B1GQ,CLV10_MEUR,2017
AL,Albania,2018,11157.3,B1GQ,CLV10_MEUR,2018
AL,Albania,2019,11387.4,B1GQ,CLV10_MEUR,2019
AL,Albania,2020,11010.1,B1GQ,CLV10_MEUR,2020
AL,Albania,2021,11997.6,B1GQ,CLV10_MEUR,2021
AL,Albania,2022,12576.7,B1GQ,CLV10_MEUR,2022
AL,Albania,2023,13081.7,B1GQ,CLV10_MEUR,2023
AL,Albania,2024,13611.0,B1GQ,CLV10_MEUR,2024
AT,Austria,2015,310082.8,B1GQ,CLV10_MEUR,2015
AT,Austria,2016,316647.9,B1GQ,CLV10_MEUR,2016
AT,Austria,2017,323842.9,B1GQ,CLV10_MEUR,2017
AT,Austria,2018,331887.9,B1GQ,CLV10_MEUR,2018
AT,Austria,2019,337712.4,B1GQ,CLV10_MEUR,2019
AT,Austria,2020,316374.9,B1GQ,CLV10_MEUR,2020
AT,Austria,2021,331950.3,B1GQ,CLV10_MEUR,2021
AT,Austria,2022,349646.5,B1GQ,CLV10_MEUR,2022
AT,Austria,2023,346897.4,B1GQ,CLV10_MEUR,2023
AT,Austria,2024,344611.1,B1GQ,CLV10_MEUR,2024
BA,Bosnia and Herzegovina,2015,14020.2,B1GQ,CLV10_MEUR,2015
BA,Bosnia and Herzegovina,2016,14474.8,B1GQ,CLV10_MEUR,2016
BA,Bosnia and Herzegovina,2017,14944.3,B1GQ,CLV10_MEUR,2017
BA,Bosnia and Herzegovina,2018,15516.6,B1GQ,CLV10_MEUR,2018
BA,Bosnia and Herzegovina,2019,15964.3,B1GQ,CLV10_MEUR,2019
BA,Bosnia and Herzegovina,2020,15483.0,B1GQ,CLV10_MEUR,2020
BA,Bosnia and Herzegovina,2021,16627.5,B1GQ,CLV10_MEUR,2021
BA,Bosnia and Herzegovina,2022,17330.3,B1GQ,CLV10_MEUR,2022
BA,Bosnia and Herzegovina,2023,17675.9,B1GQ,CLV10_MEUR,2023
BA,Bosnia and Herzegovina,2024,18114.3,B1GQ,CLV10_MEUR,2024
BE,Belgium,2015,384344.5,B1GQ,CLV10_MEUR,2015
BE,Belgium,2016,388931.6,B1GQ,CLV10_MEUR,2016
BE,Belgium,2017,394666.3,B1GQ,CLV10_MEUR,2017
BE,Belgium,2018,402078.0,B1GQ,CLV10_MEUR,2018
BE,Belgium,2019,411900.3,B1GQ,CLV10_MEUR,2019
BE,Belgium,2020,392158.0,B1GQ,CLV10_MEUR,2020
BE,Belgium,2021,416685.4,B1GQ,CLV10_MEUR,2021
BE,Belgium,2022,433170.4,B1GQ,CLV10_MEUR,2022
BE,Belgium,2023,440595.5,B1GQ,CLV10_MEUR,2023
BE,Belgium,2024,445311.9,B1GQ,CLV10_MEUR,2024
BG,Bulgaria,2015,40884.6,B1GQ,CLV10_MEUR,2015
BG,Bulgaria,2016,42122.1,B1GQ,CLV10_MEUR,2016
BG,Bulgaria,2017,43278.7,B1GQ,CLV10_MEUR,2017
BG,Bulgaria,2018,44287.2,B1GQ,CLV10_MEUR,2018
BG,Bulgaria,2019,45967.1,B1GQ,CLV10_MEUR,2019
BG,Bulgaria,2020,44526.8,B1GQ,CLV10_MEUR,2020
BG,Bulgaria,2021,48012.5,B1GQ,CLV10_MEUR,2021
BG,Bulgaria,2022,49973.2,B1GQ,CLV10_MEUR,2022
BG,Bulgaria,2023,50813.6,B1GQ,CLV10_MEUR,2023
BG,Bulgaria,2024,52534.7,B1GQ,CLV10_MEUR,2024
CH,Switzerland,2015,493595.9,B1GQ,CLV10_MEUR,2015
CH,Switzerland,2016,503806.9,B1GQ,CLV10_MEUR,2016
CH,Switzerland,2017,510672.7,B1GQ,CLV10_MEUR,2017
CH,Switzerland,2018,525280.3,B1GQ,CLV10_MEUR,2018
CH,Switzerland,2019,531278.9,B1GQ,CLV10_MEUR,2019
CH,Switzerland,2020,519900.3,B1GQ,CLV10_MEUR,2020
CH,Switzerland,2021,548804.7,B1GQ,CLV10_MEUR,2021
CH,Switzerland,2022,565510.7,B1GQ,CLV10_MEUR,2022
CH,Switzerland,2023,569375.0,B1GQ,CLV10_MEUR,2023
CH,Switzerland,2024,576790.1,B1GQ,CLV10_MEUR,2024
CY,Cyprus,2015,17904.4,B1GQ,CLV10_MEUR,2015
CY,Cyprus,2016,19081.4,B1GQ,CLV10_MEUR,2016
CY,Cyprus,2017,20178.7,B1GQ,CLV10_MEUR,2017
CY,Cyprus,2018,21444.3,B1GQ,CLV10_MEUR,2018
CY,Cyprus,2019,22704.3,B1GQ,CLV10_MEUR,2019
CY,Cyprus,2020,21973.0,B1GQ,CLV10_MEUR,2020
CY,Cyprus,2021,24477.4,B1GQ,CLV10_MEUR,2021
CY,Cyprus,2022,26502.6,B1GQ,CLV10_MEUR,2022
CY,Cyprus,2023,27461.9,B1GQ,CLV10_MEUR,2023
CY,Cyprus,2024,28544.1,B1GQ,CLV10_MEUR,2024
CZ,Czechia,2015,172793.5,B1GQ,CLV10_MEUR,2015
CZ,Czechia,2016,177253.0,B1GQ,CLV10_MEUR,2016
CZ,Czechia,2017,186423.3,B1GQ,CLV10_MEUR,2017
CZ,Czechia,2018,191699.7,B1GQ,CLV10_MEUR,2018
CZ,Czechia,2019,198535.3,B1GQ,CLV10_MEUR,2019
CZ,Czechia,2020,188003.2,B1GQ,CLV10_MEUR,2020
CZ,Czechia,2021,195577.9,B1GQ,CLV10_MEUR,2021
CZ,Czechia,2022,201146.3,B1GQ,CLV10_MEUR,2022
CZ,Czechia,2023,201242.0,B1GQ,CLV10_MEUR,2023
CZ,Czechia,2024,203723.5,B1GQ,CLV10_MEUR,2024
DE,Germany,2015,2843119.0,B1GQ,CLV10_MEUR,2015
DE,Germany,2016,2906299.4,B1GQ,CLV10_MEUR,2016
DE,Germany,2017,2987615.0,B1GQ,CLV10_MEUR,2017
DE,Germany,2018,3021545.2,B1GQ,CLV10_MEUR,2018
DE,Germany,2019,3051087.9,B1GQ,CLV10_MEUR,2019
DE,Germany,2020,2925019.6,B1GQ,CLV10_MEUR,2020
DE,Germany,2021,3039387.8,B1GQ,CLV10_MEUR,2021
DE,Germany,2022,3094378.2,B1GQ,CLV10_MEUR,2022
DE,Germany,2023,3067468.0,B1GQ,CLV10_MEUR,2023
DE,Germany,2024,3052257.9,B1GQ,CLV10_MEUR,2024
DK,Denmark,2015,258566.6,B1GQ,CLV10_MEUR,2015
DK,Denmark,2016,266512.4,B1GQ,CLV10_MEUR,2016
DK,Denmark,2017,274658.3,B1GQ,CLV10_MEUR,2017
DK,Denmark,2018,279767.0,B1GQ,CLV10_MEUR,2018
DK,Denmark,2019,284554.9,B1GQ,CLV10_MEUR,2019
DK,Denmark,2020,279489.5,B1GQ,CLV10_MEUR,2020
DK,Denmark,2021,297657.1,B1GQ,CLV10_MEUR,2021
DK,Denmark,2022,298978.2,B1GQ,CLV10_MEUR,2022
DK,Denmark,2023,300785.8,B1GQ,CLV10_MEUR,2023
DK,Denmark,2024,311246.6,B1GQ,CLV10_MEUR,2024
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,10002243.6,B1GQ,CLV10_MEUR,2015
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,10181721.1,B1GQ,CLV10_MEUR,2016
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,10448284.6,B1GQ,CLV10_MEUR,2017
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,10633630.5,B1GQ,CLV10_MEUR,2018
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,10805308.3,B1GQ,CLV10_MEUR,2019
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,10155521.7,B1GQ,CLV10_MEUR,2020
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,10803476.0,B1GQ,CLV10_MEUR,2021
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,11194681.2,B1GQ,CLV10_MEUR,2022
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,11302135.8,B1GQ,CLV10_MEUR,2023
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,11403065.0,B1GQ,CLV10_MEUR,2024
EA12,Euro area - 12 countries (2001-2006),2015,9787508.1,B1GQ,CLV10_MEUR,2015
EA12,Euro area - 12 countries (2001-2006),2016,9960802.2,B1GQ,CLV10_MEUR,2016
EA12,Euro area - 12 countries (2001-2006),2017,10217298.4,B1GQ,CLV10_MEUR,2017
EA12,Euro area - 12 countries (2001-2006),2018,10391986.8,B1GQ,CLV10_MEUR,2018
EA12,Euro area - 12 countries (2001-2006),2019,10555737.1,B1GQ,CLV10_MEUR,2019
EA12,Euro area - 12 countries (2001-2006),2020,9912169.8,B1GQ,CLV10_MEUR,2020
