Codigo de Pais,2018,2019,2020,2021,2022,2023,2024,2025
Austria,425300.425,431895.9125,465980.325,489810.125,460386.7,462013.725,494355.6875,513888.025
Belgium,578474.625,614430.875,657271.0,676865.125,623180.375,631976.125,668524.0,694911.25
Bulgaria,17629.2375,17699.175,19671.125,22537.7,24694.5625,28300.1875,32508.5,35499.45
Croatia,58131.625,60008.1375,63075.05,67657.6375,69961.625,74719.0,76430.3125,78006.075
Cyprus,29396.6375,32781.7375,35354.4125,36841.1625,33772.3375,33016.5125,33613.4375,33147.925
Czechia,93006.325,95305.9,106437.1875,124995.9875,136425.3125,158190.3375,166186.5875,176129.65
Denmark,183127.55,192257.7625,215037.8,214686.275,182790.275,177940.175,178609.65,167857.975
Estonia,4422.8375,4992.25,7842.4375,9492.5125,10149.6875,11982.3625,14794.8,14879.325
Euro area - 19 countries  (2015-2022),12601392.125,13141130.0,14209311.375,14991084.375,14193800.125,14221801.375,14899872.5,15317453.5
Euro area – 20 countries (from 2023),12659523.875,13201138.125,14272386.25,15058741.875,14263762.0,14296520.375,14976302.625,15395459.75
European Union - 27 countries (from 2020),13801801.25,14382502.125,15573672.75,16469585.375,15607858.625,15764758.625,16638002.625,17195251.0
Finland,183156.0,194254.25,213189.875,220285.375,217262.75,229820.5,243894.875,259787.25
France,3075633.625,3192048.25,3463292.875,3633548.5,3446369.125,3398644.625,3583464.5,3696852.0
Germany,2393190.0,2469952.25,2763866.25,2906819.5,2736578.0,2691908.0,2772038.75,2804391.75
Greece,374731.9375,394319.7625,412892.525,437772.9125,430750.725,436368.0125,440274.25,439713.2
Hungary,119542.03749999999,125714.5625,124535.35,141302.4,130467.5375,156977.275,171027.1875,177897.475
Ireland,256642.9125,264534.025,277982.175,288650.075,261176.8375,243261.7125,235648.2625,219049.675
Italy,2659695.25,2798809.625,2974368.625,3187795.0,3027614.625,3096549.5,3279643.5,3393003.0
Latvia,15255.125,16774.1625,19081.05,21371.65,22575.425,24243.6,26843.375,27974.1
Lithuania,18832.3125,21235.7375,25241.65,28381.1625,25942.75,27903.8375,31483.4875,34928.125
Luxembourg,17293.3,18258.3625,20591.975,22953.425,22451.6375,24650.2875,25843.3625,25910.55
Malta,7916.55,8380.3125,9319.525,10943.3875,10808.1125,11773.3375,13254.825,14138.9
Netherlands,569485.625,575104.5,619599.875,640800.375,600934.5,587669.125,611197.375,624867.0
Norway,170056.8375,171974.3875,172185.7375,195790.8125,230843.75,214043.7375,249150.2875,250541.4
Poland,341866.8125,355522.5375,399151.025,426252.8625,399273.025,464855.4625,568510.1875,653626.625
Portugal,325683.475,334540.5625,347242.15,359430.425,340687.6375,341253.7,341253.7375,353241.45
Romania,93332.25,102557.2375,122114.425,142653.9,147815.7,182763.6375,223369.6125,245353.725
Slovakia,71145.6875,73943.3125,85469.65,95747.6375,92044.7,100330.975,109268.15,116202.42499999999
Slovenia,40860.125,44015.925,51416.425,53458.787500000006,47357.6625,48128.2875,51300.45,54364.25
Spain,1554275.75,1650858.125,1759308.5,1870117.25,1783756.75,1820307.125,1923175.625,1996203.5
Sweden,293773.0375,292307.0125,314339.55,338414.175,322630.4125,299211.4,321488.1,343426.45
