Pais,NETW_2018,NETW_2019,NETW_2020,NETW_2021,NETW_2022,NETW_2023,NETW_2024,NETW_2025,PIB_2018,PIB_2019,PIB_2020,PIB_2021,PIB_2022,PIB_2023,PIB_2024,Pasivos_2018,Pasivos_2019,Pasivos_2020,Pasivos_2021,Pasivos_2022,Pasivos_2023,Pasivos_2024,Pasivos_2025
Albania,,,,,,,,,11157.3,11387.4,11010.1,11997.6,12576.7,13081.7,13611.0,,,,,,,,
Austria,-195268.175,-198388.15,-218328.0,-227430.55,-202805.325,-206339.35,-225702.825,-236994.45,331887.9,337712.4,316374.9,331950.3,349646.5,346897.4,344611.1,425300.425,431895.9125,465980.325,489810.125,460386.7,462013.725,494355.6875,513888.025
Belgium,-395204.5,-421099.0,-449674.0,-464503.25,-427255.0,-428528.75,-460286.0,-474560.5,402078.0,411900.3,392158.0,416685.4,433170.4,440595.5,445311.9,578474.625,614430.875,657271.0,676865.125,623180.375,631976.125,668524.0,694911.25
Bosnia and Herzegovina,,,,,,,,,15516.6,15964.3,15483.0,16627.5,17330.3,17675.9,18114.3,,,,,,,,
Bulgaria,-708.8,703.925,696.25,-1477.9250000000002,-3049.325,-4627.875,-6549.45,-7323.2,44287.2,45967.1,44526.8,48012.5,49973.2,50813.6,52534.7,17629.2375,17699.175,19671.125,22537.7,24694.5625,28300.1875,32508.5,35499.45
Croatia,-20976.425,-20157.925,-22339.925,-24873.325,-24662.45,-25620.15,-26111.95,-28128.15,50181.1,51737.5,47437.7,53430.1,57327.6,59484.0,61760.4,58131.625,60008.1375,63075.05,67657.6375,69961.625,74719.0,76430.3125,78006.075
Cyprus,-12021.175,-10892.25,-12125.675,-14108.25,-10743.45,-8744.0,-8420.9,-7816.6,21444.3,22704.3,21973.0,24477.4,26502.6,27461.9,28544.1,29396.6375,32781.7375,35354.4125,36841.1625,33772.3375,33016.5125,33613.4375,33147.925
Czechia,-18862.4,-17540.149999999998,-26966.875,-32292.25,-27665.3,-40290.95,-50484.0,-51263.3,191699.7,198535.3,188003.2,195577.9,201146.3,201242.0,203723.5,93006.325,95305.9,106437.1875,124995.9875,136425.3125,158190.3375,166186.5875,176129.65
Denmark,4582.325,11632.35,27238.525,41929.850000000006,63205.975,77346.725,89847.525,102810.75,279767.0,284554.9,279489.5,297657.1,298978.2,300785.8,311246.6,183127.55,192257.7625,215037.8,214686.275,182790.275,177940.175,178609.65,167857.975
Estonia,6007.45,6014.1,4865.1,3881.9,4921.1,4556.575,2817.675,2051.5,19885.4,20626.4,20031.6,21685.2,21419.3,20831.5,20812.7,4422.8375,4992.25,7842.4375,9492.5125,10149.6875,11982.3625,14794.8,14879.325
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",,,,,,,,,10633630.5,10805308.3,10155521.7,10803476.0,11194681.2,11302135.8,11403065.0,,,,,,,,
Euro area - 12 countries (2001-2006),,,,,,,,,10391986.8,10555737.1,9912169.8,10541878.0,10928224.1,10971944.2,11064346.1,,,,,,,,
Euro area - 19 countries  (2015-2022),-7347316.775,-7598511.9,-8210063.5,-8644706.55,-7968447.075,-8045610.6,-8430717.375,-8534363.100000001,10633630.5,10805308.3,10155521.7,10803476.0,11194681.2,11243065.9,11341676.7,12601392.125,13141130.0,14209311.375,14991084.375,14193800.125,14221801.375,14899872.5,15317453.5
Euro area – 20 countries (from 2023),-7368293.175,-7618669.825,-8232403.45,-8669579.9,-7993109.525,-8071230.75,-8456829.325,-8562491.25,10683756.9,10856961.2,10202922.8,10856686.5,11251663.9,11302135.8,11403065.0,12659523.875,13201138.125,14272386.25,15058741.875,14263762.0,14296520.375,14976302.625,15395459.75
European Union - 27 countries (from 2020),-7584716.35,-7821431.025,-8469512.0,-8888679.85,-8141622.75,-8310745.675000001,-8788324.275,-8938255.600000001,12417211.6,12650098.0,11946518.7,12705292.9,13155700.7,13213544.4,13353133.7,13801801.25,14382502.125,15573672.75,16469585.375,15607858.625,15764758.625,16638002.625,17195251.0
