Pais,Anio,NETW,PIB,Pasivos
Albania,2018,,11157.3,
Albania,2019,,11387.4,
Albania,2020,,11010.1,
Albania,2021,,11997.6,
Albania,2022,,12576.7,
Albania,2023,,13081.7,
Albania,2024,,13611.0,
Austria,2018,-195268.175,331887.9,425300.425
Austria,2019,-198388.15,337712.4,431895.9125
Austria,2020,-218328.0,316374.9,465980.325
Austria,2021,-227430.55,331950.3,489810.125
Austria,2022,-202805.325,349646.5,460386.7
Austria,2023,-206339.35,346897.4,462013.725
Austria,2024,-225702.825,344611.1,494355.6875
Austria,2025,-236994.45,,513888.025
Belgium,2018,-395204.5,402078.0,578474.625
Belgium,2019,-421099.0,411900.3,614430.875
Belgium,2020,-449674.0,392158.0,657271.0
Belgium,2021,-464503.25,416685.4,676865.125
Belgium,2022,-427255.0,433170.4,623180.375
Belgium,2023,-428528.75,440595.5,631976.125
Belgium,2024,-460286.0,445311.9,668524.0
Belgium,2025,-474560.5,,694911.25
Bosnia and Herzegovina,2018,,15516.6,
Bosnia and Herzegovina,2019,,15964.3,
Bosnia and Herzegovina,2020,,15483.0,
Bosnia and Herzegovina,2021,,16627.5,
Bosnia and Herzegovina,2022,,17330.3,
Bosnia and Herzegovina,2023,,17675.9,
Bosnia and Herzegovina,2024,,18114.3,
Bulgaria,2018,-708.8,44287.2,17629.2375
Bulgaria,2019,703.925,45967.1,17699.175
Bulgaria,2020,696.25,44526.8,19671.125
Bulgaria,2021,-1477.9250000000002,48012.5,22537.7
Bulgaria,2022,-3049.325,49973.2,24694.5625
Bulgaria,2023,-4627.875,50813.6,28300.1875
Bulgaria,2024,-6549.45,52534.7,32508.5
Bulgaria,2025,-7323.2,,35499.45
Croatia,2018,-20976.425,50181.1,58131.625
Croatia,2019,-20157.925,51737.5,60008.1375
Croatia,2020,-22339.925,47437.7,63075.05
Croatia,2021,-24873.325,53430.1,67657.6375
Croatia,2022,-24662.45,57327.6,69961.625
Croatia,2023,-25620.15,59484.0,74719.0
Croatia,2024,-26111.95,61760.4,76430.3125
Croatia,2025,-28128.15,,78006.075
Cyprus,2018,-12021.175,21444.3,29396.6375
Cyprus,2019,-10892.25,22704.3,32781.7375
Cyprus,2020,-12125.675,21973.0,35354.4125
Cyprus,2021,-14108.25,24477.4,36841.1625
Cyprus,2022,-10743.45,26502.6,33772.3375
Cyprus,2023,-8744.0,27461.9,33016.5125
Cyprus,2024,-8420.9,28544.1,33613.4375
Cyprus,2025,-7816.6,,33147.925
Czechia,2018,-18862.4,191699.7,93006.325
Czechia,2019,-17540.149999999998,198535.3,95305.9
Czechia,2020,-26966.875,188003.2,106437.1875
Czechia,2021,-32292.25,195577.9,124995.9875
Czechia,2022,-27665.3,201146.3,136425.3125
Czechia,2023,-40290.95,201242.0,158190.3375
Czechia,2024,-50484.0,203723.5,166186.5875
Czechia,2025,-51263.3,,176129.65
Denmark,2018,4582.325,279767.0,183127.55
Denmark,2019,11632.35,284554.9,192257.7625
Denmark,2020,27238.525,279489.5,215037.8
Denmark,2021,41929.850000000006,297657.1,214686.275
Denmark,2022,63205.975,298978.2,182790.275
Denmark,2023,77346.725,300785.8,177940.175
Denmark,2024,89847.525,311246.6,178609.65
Denmark,2025,102810.75,,167857.975
Estonia,2018,6007.45,19885.4,4422.8375
Estonia,2019,6014.1,20626.4,4992.25
Estonia,2020,4865.1,20031.6,7842.4375
Estonia,2021,3881.9,21685.2,9492.5125
Estonia,2022,4921.1,21419.3,10149.6875
Estonia,2023,4556.575,20831.5,11982.3625
Estonia,2024,2817.675,20812.7,14794.8
Estonia,2025,2051.5,,14879.325
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,,10633630.5,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,,10805308.3,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,,10155521.7,
